bc,co,date,location,no2,o3,pm10,pm25,so2
"","",2022-04-29,WHlthDpt,0.0031,0.0327,22.392,9.0928,""
"","",2022-04-29,NEWTWN,"",0.0416,"",6.0816,""
"","",2022-04-29,Dripping Springs C61,"",0.0231,"","",""
"","",2022-04-29,Thousand Oaks - Moor,"",0.0344,"",13.112,""
"","",2022-04-29,Flagler County,"",0.0555,"","",""
"","",2022-04-29,Horn Point,"",0.0451,"",2.9524,0.0
"","",2022-04-29,Chippewa,"",0.041,"",4.7738,""
"","",2022-04-29,Marietta WTP,"",0.044,"","",""
"","",2022-04-29,FRANCONIA,"",0.0387,"",4.8505,6.0E-4
"",0.1085,2022-04-29,Cheeka Peak,"",0.0397,"",1.6863,0.0
"","",2022-04-29,Springville,"",0.0331,"",17.4333,""
"",0.1072,2022-04-29,Piney Run,0.0012,0.0458,"",4.1746,3.0E-4
"","",2022-04-29,Manse,"","",61.5701,"",""
"","",2022-04-29,Steubenville,"",0.031,"",10.399,0.0
"","",2022-04-29,Lacey-College St,"",0.0333,"",2.5843,""
"","",2022-04-29,SPA-Irving St.,0.0113,"","",10.6217,0.0
"","",2022-04-29,Rte 9 Del. City,"","","",5.0631,2.0E-4
"","",2022-04-29,ELGIN,"",0.0206,"","",""
"",0.2157,2022-04-29,West Yellowstone Par,0.0011,"","","",""
"",0.1166,2022-04-29,Jerome Mack,0.0039,0.0545,77.2054,15.7259,0.0
"","",2022-04-29,PURCHASE,"",0.0633,"","",""
"","",2022-04-29,Lyons,"","","",3.7024,""
"","",2022-04-29,Sandhill,0.0059,0.049,"","",""
0.1659,"",2022-04-29,HARRINGTON BCH,"",0.0459,"",7.16,""
"","",2022-04-29,Big Piney,9.0E-4,0.0475,"","",""
"","",2022-04-29,Sandersville,"","",29.4563,12.5466,""
"","",2022-04-29,BAYROAD,"",0.0281,"","",""
"","",2022-04-29,MARTINSBURG,"",0.0416,"","",""
"","",2022-04-29,Lake Sugema,0.003,0.041,"","",0.0
"",0.2878,2022-04-29,Oakland,0.008,0.0279,"",7.0625,""
"","",2022-04-29,Indpls-Washington Pa,0.004,0.0355,23.3981,8.1398,""
"","",2022-04-29,Millville,0.0069,0.04,"",4.3313,""
"","",2022-04-29,Jefferson,"","",66.6735,10.1961,""
"","",2022-04-29,Desert View,0.0032,0.0428,52.3468,"",""
"","",2022-04-29,Silverton,"","","",2.6472,""
"","",2022-04-29,South Pass,6.0E-4,0.0529,"",2.7231,""
"","",2022-04-29,Pinehurst,"",0.029,10.2245,5.8469,""
"","",2022-04-29,ChelmsfordNR,0.0018,0.0419,"",3.4533,""
"","",2022-04-29,Towanda,"",0.0349,"",6.0648,""
"","",2022-04-29,SHIRLEY PLANTATION,0.0023,0.0346,"","",6.0E-4
"","",2022-04-29,Prescott Pioneer Par,"",0.0539,"","",""
"",0.1854,2022-04-29,Clovis - N. Villa Av,0.0041,0.0376,24.4941,7.7765,""
"","",2022-04-29,SCHILPRK,"",0.0196,"","",""
"","",2022-04-29,Carrithers Middle Sc,"",0.0422,16.0714,6.892,""
"","",2022-04-29,PIKE2001,"",0.0341,"",6.7992,""
"","",2022-04-29,Colerain,"",0.0355,"",5.4388,1.0E-4
"","",2022-04-29,Bad River Tribal Sch,"",0.0393,"",4.98,""
